序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB2295	Coleoptera	Dendroctonus valens	Ophiostoma	Ophiostoma minus	The phenoloxidase ratio increased significantly in the larvae with O. minus
RISB2296	Hemiptera	Sogatella furcifera	Candidatus Cardinium	Candidatus Cardinium	could shorten the developmental time of nymphs and had no effect on the fecundity of females
RISB2297	Coleoptera	Doubledaya bucculenta	Wickerhamomyces	Wickerhamomyces anomalus	fungal farming, a mutualistic nature of the D. bucculenta-W. anomalus association with morphological specialization and physiological dependence
RISB2298	Lepidoptera	Helicoverpa armigera	Acinetobacter	Acinetobacter	Metabolize insecticides
RISB2299	Blattodea	Mastotermes darwiniensis	Blattabacterium	Blattabacterium	use nitrogenous wastes in essential amino acid and vitamin biosynthesis
RISB2300	Hemiptera	Acyrthosiphon pisum	Candidatus Regiella	Candidatus Regiella insecticola 5.15	significantly reduced parasitoid success and increased aphid survivorship
RISB2301	Hemiptera	Pyrrhocoris apterus	Clostridium	Clostridium sp. clone KP2NoneW3	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2302	Hemiptera	Pyrrhocoris apterus	Coriobacterium	Coriobacterium glomerans	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2303	Hemiptera	Pyrrhocoris apterus	Gordonibacter	Gordonibacter sp. clone KP2NoneW2	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2304	Hemiptera	Pyrrhocoris apterus	Klebsiella	Klebsiella sp. clone KP2NoneW6	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2305	Hemiptera	Pyrrhocoris apterus	Lactococcus	Lactococcus sp. clone KP2NoneW4	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2306	Hemiptera	Pyrrhocoris apterus	None	Rickettsiales bacterium clone KP2NoneW5	could play an important role for the insect by degrading complex dietary components, providing nutrient supplementation, or detoxifying noxious chemicals (e.g. cyclopropenoic fatty acids or gossypol) in the diet
RISB2307	Coleoptera	Lissorhoptrus oryzophilus	Wolbachia	Wolbachia	Wolbachia are necessary for oocyte production in Lissorhoptrus oryzophilus
RISB2308	Diptera	Drosophila melanogaster	Listeria	Listeria monocytogenes	L. monocytogenes infection disrupts host energy metabolism by depleting energy stores (triglycerides and glycogen) and reducing metabolic pathway activity (beta-oxidation and glycolysis). The infection affects antioxidant defense by reducing uric acid levels and alters amino acid metabolism. These metabolic changes are accompanied by melanization, potentially linked to decreased tyrosine levels.
RISB2309	Lepidoptera	Spodoptera exempta	Wolbachia	Wolbachia	male killing; driving a selective sweep on armyworm haplotype diversity
RISB2310	Hemiptera	Bactericerca cockerelli	Liberibacter	Candidatus Liberibacter Psyllaurous	manipulate plant signaling and defensive responses,  suppress accumulation of  defense transcripts like JA and SA
RISB2311	Hemiptera	Metopolophium dirhodum	Candidatus Hamiltonella	Hamiltonella defensa	None
RISB2312	Coleoptera	Euops chinensis	Penicillium	Penicillium herquei	mycangial fungus may help alter leaf chemical components and protect against pathogens thus improve leaf-rolls for the development of E. chinesis
RISB2313	Coleoptera	Dendroctonus ponderosae	Leptographium	Grosmannia clavigera	None
RISB2314	Diptera	Culex pipiens	Wolbachia	Wolbachia	induces cytoplasmic incompatibility (CI)
RISB2315	Diptera	Aedes aegypti	Proteus	Proteus sp.	upregulates AMP gene expression, resulting in suppression of DENV infection in the mosquito gut epithelium
RISB2316	Hymenoptera	Philanthinus quattuordecimpunctatus	Streptomyces	Candidatus Streptomyces philanthi	host cultivate the actinomycete in specialized antennal gland reservoirs. Then symbionts are transferred to the larval cocoon, where they provide protection against pathogenic fungi by producing at least nine different antibiotics.
RISB2317	Diptera	Anastrepha striata	Wolbachia	Wolbachia	None
RISB2318	Hemiptera	Cavelerius saccharivorus	Burkholderia	Burkholderia	confer a resistance of the host insects against fenitrothion
RISB2319	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia sp.	Symbiont-mediated fenitrothion (insecticide) resistance to insect host
RISB2320	Diptera	Aedes aegypti	Beauveria	Beauveria bassiana	stimulates the expression of Toll and JAK-STAT-associated effectors to suppress DENV infection of A. aegypti
RISB2321	Lepidoptera	Spodoptera exempta	Wolbachia	Wolbachia	Wolbachia make host more susceptible to viral infection
RISB2322	Diptera	Aedes aegypti	Wolbachia	Wolbachia	Wolbachia induce resistance to a number of human pathogens, including dengue virus (DENV), Plasmodium, and filarial nematodes, but the molecular mechanism involved is unclear
RISB2323	Diptera	Aedes albopictus	Wolbachia	Wolbachia wAlbA	induces cytoplasmic incompatibility and blocks dengue transmission in Aedes albopictus
RISB2324	Diptera	Aedes albopictus	Wolbachia	Wolbachia wAlbB	induces cytoplasmic incompatibility and blocks dengue transmission in Aedes albopictus
RISB2325	Diptera	Drosophila melanogaster	Saccharomyces	Accharomyces cerevisiae	mediate Drosophila melanogaster attraction, oviposition and development
RISB2326	Hemiptera	Sitobion miscanthi	Rickettsia	S. miscanthi L type symbiont	None
RISB2327	Hymenoptera	Acromyrmex octospinosus	Streptomyces	Streptomyces sp.	symbiont makes multiple antifungals, including Antimycins A1–A4, which support the fungus farming
RISB2328	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera	synthesize amino acids
RISB2329	Hymenoptera	Camponotus japonicus	Candidatus Blochmanniella	Candidatus Blochmanniella	obligate symbiont
RISB2330	Hymenoptera	Camponotus japonicus	None	Burkholderiales	None
RISB2331	Hymenoptera	Camponotus japonicus	Serratia	Serratia symbiotica	None
RISB2332	Hemiptera	Hyalesthes obsoletus	Candidatus Vidania	Candidatus Vidania fulgoroideae	None
RISB2333	Hemiptera	Cacopsylla pyri	Liberibacter	Candidatus Liberibacter europaeus	behaves as an endophyte rather than a pathogen
RISB2334	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actG	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide
RISB2335	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actF	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide
RISB2336	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. ACTE	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide
RISB2337	Hemiptera	Chilacis typhae	Candidatus Rohrkolberia	Candidatus Rohrkolberia cinguli	None
RISB2338	Hymenoptera	Sceliphron caementarium	Streptomyces	Streptomyces	Streptomyces as antibiotic-producing symbionts, potentially helping defend their wasp hosts from pathogenic microbes
RISB2339	Hemiptera	Kerria lacca	None	yeast-like symbiont	produces an economically important natural resin, known as lac; YLS in nutritional supplementation and detoxifying substances
RISB2340	Lepidoptera	Saturniidae	Methylobacterium	Methylobacterium	Nitrogen fixation
RISB2341	Hemiptera	Eurhizococcus brasiliensis	None	bacterial associated with cysts of E. brasiliensis	None
RISB2342	Hymenoptera	Nasonia giraulti	Wolbachia	Wolbachia pipientis	Increase mate acceptance of infected females
RISB2343	Lepidoptera	Chilo suppressalis	Wolbachia	Wolbachia	None
RISB2344	Diptera	Drosophila melanogaster	Wolbachia	Wolbachia	Wolbachia infection changes the expression of several genes putatively associated with spermatogenesis including JH induced protein-26 and Mst84Db, or involved in immune (kenny) or metabolism (CG4988-RA)
RISB2345	Coleoptera	Curculio sikkimensis	Curculioniphilus	Curculioniphilus	None
RISB2346	Coleoptera	Curculio sikkimensis	Rickettsia	Rickettsia	None
RISB2347	Coleoptera	Curculio sikkimensis	Serratia	Serratia	None
RISB2348	Coleoptera	Curculio sikkimensis	Sodalis	Sodalis	None
RISB2349	Coleoptera	Curculio sikkimensis	Spiroplasma	Spiroplasma	None
RISB2350	Coleoptera	Curculio sikkimensis	Wolbachia	Wolbachia	None
RISB2351	Diptera	Anopheles gambiae	None	bacteria	None
RISB2352	Lepidoptera	Hypolimnas bolina	Wolbachia	Wolbachia	Male-killing, in which symbionts kill the male progeny of infected females
RISB2353	Coleoptera	Dendroctonus ponderosae	Grosmannia	Grosmannia clavigera	Grosmannia clavigera can detoxify oleoresin terpenoids (conifer-defence chemicals) and utilize them as carbon sources. It allows host insects to tolerate terpenoids and grow successfully on pine hosts
RISB2354	Hemiptera	Thasus neocalifornicus	Burkholderia	Burkholderia	if this symbiont is not acquired, giant mesquite bugs experience higher mortality
RISB2355	Hymenoptera	Camponotus floridanus	Candidatus Blochmanniella	Candidatus Blochmanniella floridana	Interaction with the host's immune system
RISB2356	Diptera	Glossina fuscipes fuscipes	Wigglesworthia	Wigglesworthia glossinidia	influence host vector competence
RISB2357	Hemiptera	Daktulosphaira vitifoliae	Pantoea	Pantoea agglomerans	None
RISB2358	Lepidoptera	Bombyx mori	Bacillus	Bacillus sp.	producing lipase in a  gut environment
RISB2359	Lepidoptera	Bombyx mori	Brevibacterium	Brevibacterium	producing lipase in a  gut environment
RISB2360	Lepidoptera	Bombyx mori	Corynebacterium	Corynebacterium	producing lipase in a  gut environment
RISB2361	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella	producing lipase in a  gut environment
RISB2362	Lepidoptera	Bombyx mori	Staphylococcus	Staphylococcus	producing lipase in a  gut environment
RISB2363	Lepidoptera	Bombyx mori	Stenotrophomonas	Stenotrophomonas	producing lipase in a  gut environment
RISB2364	Lepidoptera	Ostrinia zaguliaevi	Spiroplasma	Spiroplasma	Spiroplasma-induced male killing
RISB2365	Hemiptera	Cinara tujafilina	Buchnera	Buchnera aphidicola	the subfamily Lachninae harbors two coprimary bacteria that fulfill the metabolic needs of the whole consortium
RISB2366	Hemiptera	Cinara tujafilina	Serratia	Serratia symbiotica	the subfamily Lachninae harbors two coprimary bacteria that fulfill the metabolic needs of the whole consortium
RISB2367	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Candidatus Ishikawaella capsulata	symbiont genome encoded genes for arginine metabolism and oxalate detoxification
RISB2368	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Candidatus Ishikawella capsulata	Microbe compensates for nutritional deficiency of host diet by supplying essential amino acids
RISB2369	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Ishikawaella capsulata	supply essential amino acids for the plant-sucking stinkbug
RISB2370	Diptera	Penicillidia jenynsii	Arsenophonus	Arsenophonus	None
RISB2371	Diptera	Penicillidia monoceros	Arsenophonus	Arsenophonus	None
RISB2372	Hemiptera	Diaphorina citri	Arsenophonus	Arsenophonus	None
RISB2373	Diptera	Nycteribia kolenatii	Arsenophonus	Arsenophonus	None
RISB2374	Diptera	Pseudolynchia canariensis	Wolbachia	Wolbachia	None
RISB2375	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	influences thermotolerance in the whitefly Bemisia tabaci B biotype
RISB2376	Blattodea	termite	Leadbettera	Treponema azotonutricium (ZAS-9)	when grown together, two termite-gut Treponema species influence each other's gene expression in a far more comprehensive and nuanced manner than might have been predicted based on the results of previous studies on the respective pure cultures
RISB2377	Blattodea	termite	Treponema	Treponema primitia (ZAS-2)	when grown together, two termite-gut Treponema species influence each other's gene expression in a far more comprehensive and nuanced manner than might have been predicted based on the results of previous studies on the respective pure cultures
RISB2378	Hemiptera	Cinara cedri	Buchnera	Buchnera aphidicola	None
RISB2379	Hemiptera	Plautia stali	None	γ-Proteobacteria	produces rough-type lipopolysaccharide (LPS)
RISB2380	Coleoptera	Xyleborus glabratus	Raffaelea	Raffaelea lauricola	Volatile cues from fungal symbionts may function as a mechanism to locate established fungal gardens of conspecific beetles (suitable microhabitat) but also as an orientation cue within a gallery
RISB2381	Diptera	Anopheles stephensi	Wickerhamomyces	Wickerhamomyces anomalus	None
RISB2382	Coleoptera	Dendroctonus ponderosae	Grosmannia	Grosmannia clavigera	Increased success of host insect on jack pines (host plant) reduces food quality for interspecific competitors
RISB2383	Lepidoptera	Euchloe hecabe	Wolbachia	Wolbachia	Complete feminisation of genetic males into functional females
RISB2384	Lepidoptera	Eurema mandarina	Wolbachia	Wolbachia	Complete feminisation of genetic males into functional females
RISB2385	Coleoptera	Curculio sikkimensis	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	represent the primary symbiont of Curculio weevils
RISB2386	Coleoptera	Curculio dentipes	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	represent the primary symbiont of Curculio weevils
RISB2387	Coleoptera	Curculio robustus	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	represent the primary symbiont of Curculio weevils
RISB2388	Coleoptera	Curculio camelliae	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	represent the primary symbiont of Curculio weevils
RISB2389	Hymenoptera	Apis mellifera	Burkholderia	Burkholderia cepacia	None
RISB2390	Hymenoptera	Bombus sonorus	Burkholderia	Burkholderia cepacia	None
RISB2391	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	provisioning of essential amino acids and/or vitamins
RISB2392	Hemiptera	Yemma exilis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2393	Hemiptera	Metatropis rufescens	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2394	Hemiptera	Chauliops fallax	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2395	Hemiptera	Malcus japonicus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2396	Hemiptera	Tropidothorax belogolowi	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2397	Hemiptera	Aethalotus nigriventris	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2398	Hemiptera	Caenocoris dimidiatus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2399	Hemiptera	Spilostethus hospes	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2400	Hemiptera	Graptostethus servus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2401	Hemiptera	Oncopeltus nigriceps	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2402	Hemiptera	Thunbergia sanguinaria	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2403	Hemiptera	Nysius plebeius	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2404	Hemiptera	Pylorgus colon	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2405	Hemiptera	Geocoris proteus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2406	Hemiptera	Piocoris varius	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2407	Hemiptera	Dimorphopterus pallipes	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2408	Hemiptera	Cavelerius saccharivorus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2409	Hemiptera	Pachybrachius luridus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2410	Hemiptera	Paromius exiguus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2411	Hemiptera	Togo hemipterus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2412	Hemiptera	Paraeucosmetus pallicornis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2413	Hemiptera	Horridipamera inconspicua	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2414	Hemiptera	Horridipamera nietneri	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2415	Hemiptera	Panaorus japonicus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2416	Hemiptera	Pangorus albomaculatus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2417	Hemiptera	Metochus abbreviatus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2418	Hemiptera	Neolethaeus dallasi	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2419	Hemiptera	Lethaeus assamensis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2420	Hemiptera	Pachygrontha antennata	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2421	Hemiptera	Molipteryx fuliginosa	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2422	Hemiptera	Acanthocoris sordidus.	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2423	Hemiptera	Leptoglossus australis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2424	Hemiptera	Dasynus coccocinctus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2425	Hemiptera	Notobitus meleagris	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2426	Hemiptera	Hygia opaca	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2427	Hemiptera	Hygia lativentris	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2428	Hemiptera	Homoeocerus dilatatus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2429	Hemiptera	Homoeocerus unipunctatus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2430	Hemiptera	Homoeocerus marginiventris	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2431	Hemiptera	Anacanthocoris striicornis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2432	Hemiptera	Paradasynus spinosus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2433	Hemiptera	linachtus bicoloripes	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2434	Hemiptera	Plinachtus basalis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2435	Hemiptera	Plinachtus bicoloripes	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2436	Hemiptera	Cletus trigonus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2437	Hemiptera	Cletus punctigerr	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2438	Hemiptera	Cletus rusticus	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2439	Hemiptera	Riptortus linearis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2440	Hemiptera	Leptocorisa chinensis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2441	Hemiptera	Leptocorisa acuta	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2442	Hemiptera	Leptocorisa oratoria	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2443	Hemiptera	Megalotomus costalis	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2444	Hemiptera	Daclera levana	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2445	Hemiptera	Paraplesius unicolor	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2446	Hemiptera	Riptortus clavatu	Burkholderia	Burkholderia	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet
RISB2447	Coleoptera	Harpalus pensylvanicus	Enterococcus	Enterococcus faecalis	contribute to seed digestion
RISB2448	Hymenoptera	Camponotus floridanus	Candidatus Blochmanniella	Candidatus Blochmanniella floridana	nutritional contribution of the bacteria to host metabolism by production of essential amino acids and urease-mediated nitrogen recycling
RISB2449	Coleoptera	Euscepes postfasciatus	Candidatus Nardonella	Nardonella spp.	endosymbiont is involved in normal growth and development of the host weevil
RISB2450	Hemiptera	Clastoptera arizonana	Candidatus Karelsulcia	Sulcia muelleri	involved in the production of seven essential amino acids (leucine, isoleucine, valine, threonine, lysine, arginine, and phenylalanine)
RISB2451	Hemiptera	Clastoptera arizonana	Candidatus Zinderia	Candidatus Zinderia insecticola	Zinderia had gene homologs for the production of tryptophan, methionine, and histidine
RISB2452	Phthiraptera	Pediculus humanus humanus	Candidatus Riesia	Candidatus Riesia pediculicola	supplement body lice nutritionally deficient blood diet
RISB2453	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Purine metabolism genes in the symbiotic bacterium Buchnera complement aphid genes, and Buchnera can meet its nucleotide requirement from aphid-derived guanosine
RISB2454	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	the pea aphid lacks the capacity to synthesize arginine, which is produced by Buchnera APS
RISB2455	Lepidoptera	Spodoptera exigua	None	gut bacteria	midgut bacterial overload confers an advantage against certain entomopathogens such as B. thuringiensis
RISB2456	Lepidoptera	Bombyx mori	Aeromonas	Aeromonas sp.	able to utilize the CMcellulose and xylan
RISB2457	Lepidoptera	Bombyx mori	Bacillus	Bacillus circulans	degradation of cellulose, xylan, pectin and starch
RISB2458	Lepidoptera	Bombyx mori	Citrobacter	Citrobacter freundii	degradation of cellulose, xylan, pectin and starch
RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch
RISB2460	Lepidoptera	Bombyx mori	Proteus	Proteus vulgaris	degradation of cellulose, xylan, pectin and starch
RISB2461	Lepidoptera	Bombyx mori	Serratia	Serratia liquefaciens	able to utilize three polysaccharides including CMcellulose, xylan and pectin
RISB2462	Lepidoptera	Hypolimnas bolina	Wolbachia	Wolbachia	Male-killing, in which symbionts kill the male progeny of infected females
RISB2463	Coleoptera	Diabrotica virgifera virgifera	Wolbachia	Wolbachia	mediate the down-regulation of many maize defenses via their insect hosts
RISB2464	Coleoptera	Diabrotica virgifera virgifera	Wolbachia	Wolbachia	influence down-regulation of defense genes in maize
RISB2465	Coleoptera	Diabrotica virgifera	Wolbachia	Wolbachia sp.	Silencing of maize (host plant) defence induction via insect host
RISB2466	Hemiptera	Kleidocerys resedae	Candidatus Kleidoceria	Candidatus Kleidoceria schneideri	None
RISB2467	Hemiptera	Dactylopius coccus	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	None
RISB2468	Hemiptera	Dactylopius ceylonicus	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	None
RISB2469	Hemiptera	Dactylopius confusus	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	None
RISB2470	Hemiptera	Dactylopius opuntiae	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	None
RISB2471	Diptera	Glossina morsitans	Sodalis	Sodalis glossinidius	retains a thiamine ABC transporter (tbpAthiPQ) believed to salvage thiamine
RISB2472	Diptera	Glossina morsitans	Wigglesworthia	Wigglesworthia glossinidia	can synthesize thiamine
RISB2473	Lepidoptera	Phyllonorycter blancardella	Wolbachia	Wolbachia	P. blancardella relies on bacterial endosymbionts (possibly Wolbachia) to manipulate the physiology of its host plant, resulting in the green-island phenotype
RISB2474	Lepidoptera	Phyllonorycter blancardella	Wolbachia	Wolbachia sp.	To increase host insect fitness, the maintenance of chlorophyll and nutrient-rich “green island” (insect feeding site) in senescent leaves of the host plant
RISB2475	Hymenoptera	Pnigalio soemius	Rickettsia	Rickettsia	cause parthenogenetic reproduction in the parasitoid wasp
RISB2476	Lepidoptera	Pieris rapae	None	gut bacteria	resistance to invasion
RISB2477	Diptera	Drosophila hydei	Spiroplasma	Spiroplasma	enhance survival of Drosophila hydei attacked by the parasitic wasp Leptopilina heterotoma
RISB2478	Hemiptera	Acyrthosiphon pisum	Rickettsiella	Rickettsiella	Rickettsiella changes the insects’ body color from red to green in natural populations
RISB2479	Hemiptera	Acyrthosiphon pisum	Rickettsiella	Rickettsiella	changes the insects’ body color from red to green in natural populations, the infection increased amounts of blue-green polycyclic quinones, whereas it had less of an effect on yellow-red carotenoid pigments
RISB2480	Hymenoptera	Trachypus denticollis	Streptomyces	Candidatus Streptomyces philanthi	provide protection for the beewolf larva against pathogens by producing a cocktail of antibiotic substances
RISB2481	Hymenoptera	Trachypus boharti	Streptomyces	Candidatus Streptomyces philanthi	provide protection for the beewolf larva against pathogens by producing a cocktail of antibiotic substances
RISB2482	Hymenoptera	Philanthus	Streptomyces	Candidatus Streptomyces philanthi	incorporated into the larval cocoon for protection against pathogens
RISB2483	Hymenoptera	Nasonia vitripennis	Arsenophonus	Arsenophonus nasoniae	male-killing
RISB2484	Hemiptera	Aphis fabae	Buchnera	Buchnera	ryptophan derived from Buchnera is the key individual amino acids for embryo growth
RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance
RISB2486	Diptera	Aedes aegypti	Wolbachia	Wolbachia	Wolbachia symbiont in Aedes aegypti limits infection with dengue, Chikungunya, and Plasmodium; Wolbachia also halves adult lifespan
RISB2487	Hymenoptera	ant insects	None	gut bacteria	bacteria could compensate for the lack of sufficient nitrogen in their hosts' diets
RISB2488	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus subtilis	allow the adaptation of this insect to plants rich in protease inhibitors, minimizing the potentially harmful consequences of protease inhibitors from some of this insect host plants, such as soybean
RISB2489	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	allow the adaptation of this insect to plants rich in protease inhibitors, minimizing the potentially harmful consequences of protease inhibitors from some of this insect host plants, such as soybean
RISB2490	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus subtilis	protein hydrolase activity for proteases, serine proteases, and cysteine proteases
RISB2491	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	protein hydrolase activity for proteases, serine proteases, and cysteine proteases
