序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	寄生位置	传播模式	功能	功能标签	共生体序列数据	基因组序号	参考文献	doi号	期刊	出版年份	备注
RISB2184	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter species DHM1T	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC43500	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2185	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella pneumoniae L-13	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434996	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2186	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella pneumoniae L-13	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434997	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2187	Symbiont	Blattodea	Termitidae	None	Termitidae	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella sp. clone F7	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434961	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2188	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacteriaceae bacterium HLB-6	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434980	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2189	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacteriaceae bacterium BMC-3	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434981	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2190	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacteriaceae bacterium BMC-3	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434998	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2191	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacterium arborescens DSM 2None754	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434983	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2192	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacterium arborescens DSM 2None754	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434984	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2193	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacterium arborescens JB8_2B	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434985	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2194	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Actinomycetota	Micrococcales	None	Genus	Microbacteriaceae	Microbacterium oleivorans CCGE2277	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434982	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2195	Symbiont	Blattodea	Termitidae	None	Termitidae	Bacillota	Bacillales	Paenibacillus	Genus	Paenibacillus	Paenibacillus polymyxa DSM 36T	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434972	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2196	Symbiont	Isopoda	Armadillidae	None	Armadillidae	Bacillota	Bacillales	Paenibacillus	Genus	Paenibacillus	Paenibacillus polymyxa YRL13	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434973	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2197	Symbiont	Blattodea	Termitidae	None	Termitidae	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea agglomerans WAB1927	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434965	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2198	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea agglomerans WAB1927	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434995	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2199	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea species NCCP116	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434994	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2200	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens PS1	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC43501	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2201	Symbiont	Blattodea	Termitidae	None	Termitidae	Pseudomonadota	Enterobacterales	Trabulsiella	Genus	Trabulsiella	Trabulsiella guamensis GTC1379	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434962	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2202	Symbiont	Blattodea	Termitidae	None	Termitidae	Pseudomonadota	Enterobacterales	Trabulsiella	Genus	Trabulsiella	Trabulsiella guamensis GTC1379	Bacteria	Extracellular	None	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	Digestive enzymes	KC434988	None	Diversity and functional significance of cellulolytic microbes living in termite, pill-bug and stem-borer guts	10.1038/srep02558	SCIENTIFIC REPORTS	2013	None
RISB2203	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles striifrons	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia muelleri	Bacteria	Intracellular	None	None	None	None	None	Diversity of bacterial endosymbionts associated with Macrosteles leafhoppers vectoring phytopathogenic phytoplasmas	10.1128/AEM.01527-13	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2204	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles sexnotatus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia muelleri	Bacteria	Intracellular	None	None	None	None	None	Diversity of bacterial endosymbionts associated with Macrosteles leafhoppers vectoring phytopathogenic phytoplasmas	10.1128/AEM.01527-13	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2205	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles striifrons	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia deltocephalinicola	Bacteria	Intracellular	None	None	None	None	None	Diversity of bacterial endosymbionts associated with Macrosteles leafhoppers vectoring phytopathogenic phytoplasmas	10.1128/AEM.01527-13	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2206	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles sexnotatus	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia deltocephalinicola	Bacteria	Intracellular	None	None	None	None	None	Diversity of bacterial endosymbionts associated with Macrosteles leafhoppers vectoring phytopathogenic phytoplasmas	10.1128/AEM.01527-13	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2207	Symbiont	Hemiptera	Adelgidae	None	Adelges tsugae	Pseudomonadota	Enterobacterales	Candidatus Annandia	Genus	Candidatus Annandia	Candidatus Annandia adelgestsuga	Bacteria	Extracellular	None	None	None	None	None	Diversity of proteobacterial endosymbionts in hemlock woolly adelgid (Adelges tsugae) (Hemiptera: Adelgidae) from its native and introduced range	10.1111/1462-2920.12102	ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2208	Symbiont	Hemiptera	Adelgidae	None	Adelges tsugae	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Candidatus Pseudomonas adelgestsugas	Bacteria	Extracellular	None	None	None	None	None	Diversity of proteobacterial endosymbionts in hemlock woolly adelgid (Adelges tsugae) (Hemiptera: Adelgidae) from its native and introduced range	10.1111/1462-2920.12102	ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2209	Symbiont	Hemiptera	Adelgidae	None	Adelges tsugae	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia symbiotica	Bacteria	Intracellular	None	None	None	None	None	Diversity of proteobacterial endosymbionts in hemlock woolly adelgid (Adelges tsugae) (Hemiptera: Adelgidae) from its native and introduced range	10.1111/1462-2920.12102	ENVIRONMENTAL MICROBIOLOGY	2013	None
RISB2210	Symbiont	Hymenoptera	Crabronidae	Philanthinae	Philanthus triangulum	Actinomycetota	Kitasatosporales	Streptomyces	Genus	Streptomyces	Candidatus Streptomyces philanthi	Bacteria	Extracellular	None	defend the developing larvae against pathogens by producing a mixture of at least nine antimicrobial substances on the cocoon surface	Antimicrobials	None	None	Dynamics of symbiont-mediated antibiotic production reveal efficient long-term protection for beewolf offspring	10.1186/1742-9994-10-3	FRONTIERS IN ZOOLOGY	2013	None
RISB2211	Symbiont	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex subterraneus subterraneus	Actinomycetota	None	None	Phylum	Actinomycetota	Actinobacteria	Bacteria	Extracellular	None	actinobacteria confer protection to young workers until the maturation of their immune system and suppress the growth of Escovopsis spp., the specialized parasite of attine fungus gardens	Antimicrobials	None	None	Ectosymbionts and immunity in the leaf-cutting ant Acromyrmex subterraneus subterraneus	10.1016/j.bbi.2012.11.014	BRAIN BEHAVIOR AND IMMUNITY	2013	None
RISB2212	Symbiont	Coleoptera	Curculionidae	Curculioninae	Curculio glandium	Pseudomonadota	Enterobacterales	Candidatus Curculioniphilus	Genus	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	Bacteria	Intracellular	None	None	None	JN100089	None	Endosymbiont diversity among sibling weevil species competing for the same resource	10.1186/1471-2148-13-28	BMC EVOLUTIONARY BIOLOGY	2013	None
RISB2213	Symbiont	Coleoptera	Curculionidae	Curculioninae	Curculio elephas	Pseudomonadota	Enterobacterales	Candidatus Curculioniphilus	Genus	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	Bacteria	Intracellular	None	None	None	JN100087	None	Endosymbiont diversity among sibling weevil species competing for the same resource	10.1186/1471-2148-13-28	BMC EVOLUTIONARY BIOLOGY	2013	None
RISB2214	Symbiont	Coleoptera	Curculionidae	Curculioninae	Curculio pellitus	Pseudomonadota	Enterobacterales	Candidatus Curculioniphilus	Genus	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	Bacteria	Intracellular	None	None	None	JN100086	None	Endosymbiont diversity among sibling weevil species competing for the same resource	10.1186/1471-2148-13-28	BMC EVOLUTIONARY BIOLOGY	2013	None
RISB2215	Symbiont	Coleoptera	Curculionidae	Curculioninae	Curculio venosus	Pseudomonadota	Enterobacterales	Candidatus Curculioniphilus	Genus	Candidatus Curculioniphilus	Candidatus Curculioniphilus buchneri	Bacteria	Intracellular	None	None	None	JN100088	None	Endosymbiont diversity among sibling weevil species competing for the same resource	10.1186/1471-2148-13-28	BMC EVOLUTIONARY BIOLOGY	2013	None
RISB2216	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci MED	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Hamiltonella	Bacteria	Intracellular	Vertical	Hamiltonella-infected whiteflies produced significantly more eggs, exhibited significantly higher nymphal survival, faster development times, and larger adult body size in comparison with Hamiltonella-free whiteflies, while no evidence of reproductive manipulation by Hamiltonella were found in B. tabaci MED	Fertility,Growth and Development	None	None	Facultative symbiont Hamiltonella confers benefits to Bemisia tabaci (Hemiptera: Aleyrodidae), an invasive agricultural pest worldwide	10.1603/EN13182	ENVIRONMENTAL ENTOMOLOGY	2013	None
RISB2217	Symbiont	Zygentoma	Lepismatidae	None	Thermobia domestica	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter cloacae	Bacteria	Extracellular	Horizontal	Mediated by two microbial symbiont, the firebat saggregates in response to the faeces of conspecifics	None	None	None	Firebrats, Thermobia domestica, aggregate in response to the microbes Enterobacter cloacae and Mycotypha microspora	10.1111/eea.12054	Entomologia Experimentalis et Applicata	2013	None
RISB2218	Symbiont	Zygentoma	Lepismatidae	None	Thermobia domestica	Mucoromycota	Mucorales	Mycotypha	Genus	Mycotypha	Mycotypha microspora	Fungi	Extracellular	Horizontal	Mediated by two microbial symbiont, the firebat saggregates in response to the faeces of conspecifics	None	None	None	Firebrats, Thermobia domestica, aggregate in response to the microbes Enterobacter cloacae and Mycotypha microspora	10.1111/eea.12054	Entomologia Experimentalis et Applicata	2013	None
RISB2219	Symbiont	Coleoptera	Erotylidae	Languriinae	Doubledaya bucculenta	Ascomycota	Phaffomycetales	Wickerhamomyces	Genus	Wickerhamomyces	Wickerhamomyces anomalus	Fungi	Intracellular	Vertical	fungal garden making inside bamboos by non-social fungus-farming insects	Fungal farming	AB774379-AB774443	None	Fungal garden making inside bamboos by a non-social fungus-growing beetle	10.1371/journal.pone.0079515	PLOS ONE	2013	None
RISB2220	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	None	infected insects showed up-regulation and down-regulation of specific genes that may involved in the regulation of symbiotic relationships	Plant defense	None	None	Gene expression in gut symbiotic organ of stinkbug affected by extracellular bacterial symbiont	10.1371/journal.pone.0064557	PLOS ONE	2013	None
RISB2221	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter sp. S1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	JX296530	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2222	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter sp. T1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	KC977257	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2223	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	None	Genus	Enterobacteriaceae	Enterobacteriaceae bacterium F1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	KC977255	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2224	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas sp. I2	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	JX296531	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2225	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas sp. B1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	KC977254	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2226	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Raoultella	Genus	Raoultella	Raoultella sp. L1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	KC977256	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2227	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Bacteroidota	Sphingobacteriales	Sphingobacterium	Genus	Sphingobacterium	Sphingobacterium sp. N1	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	KC977253	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2228	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. A3	Bacteria	None	None	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	Plant defense	JX296529	None	Herbivore exploits orally secreted bacteria to suppress plant defenses	10.1073/pnas.1308867110	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2013	None
RISB2229	Symbiont	Hemiptera	Pseudococcidae	None	Planococcus citri	Pseudomonadota	None	Candidatus Tremblaya	Genus	Candidatus Tremblaya	Candidatus Tremblaya princeps	Bacteria	Intracellular	Vertical	Multiple horizontal gene transfer events to whiteflies by a triple nested parasitized symbiotic bacterium	None	CP003982	GISB0047	Horizontal gene transfer from diverse bacteria to an insect genome enables a tripartite nested mealybug symbiosis	10.1016/j.cell.2013.05.040	CELL	2013	None
RISB2230	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci Q	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Hamiltonella	Bacteria	Intracellular	Vertical	the ability of B. tabaci Q to acquire, retain and transmit TYLCV is affected by its S-symbiont Hamiltonella	Pathogen interaction	None	None	Insect symbiont facilitates vector acquisition, retention, and transmission of plant virus	10.1038/srep01367	SCIENTIFIC REPORTS	2013	None
RISB2231	Symbiont	Hemiptera	Delphacidae	Criomorphinae	Laodelphax striatellus	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	Intracellular	None	Spiroplasma-mediated late male killing	Reproductive manipulation	None	None	Male killing caused by a Spiroplasma symbiont in the small brown planthopper, Laodelphax striatellus	10.1093/jhered/est052	JOURNAL OF HEREDITY	2013	None
RISB2232	Symbiont	Hemiptera	Pseudococcidae	None	Planococcus citri	Pseudomonadota	Enterobacterales	Candidatus Moranella	Genus	Candidatus Moranella	Candidatus Moranella endobia	Bacteria	None	None	be responsible for the biosynthesis of most cellular components and energy provision, and controls most informational processes for the consortium	Nutrient provision	CP003881,CP002243	GISB0028,GISB0046	Mealybugs nested endosymbiosis: going into the ‘matryoshka’ system in Planococcus citri in depth	10.1186/1471-2180-13-74	BMC Microbiology	2013	None
RISB2233	Amplicon	Blattodea	Termitidae	Macrotermitinae	Odontotermes yunnanensis	None	None	None	None	None	gut bacteria	Bacteria and Fungi	Extracellular	None	harbor a broad set of genes or gene modules encoding carbohydrate-active enzymes (CAZymes) relevant to plant fiber degradation, particularly debranching enzymes and oligosaccharide-processing enzymes	Digestive enzymes	SRA045578	None	Metagenomic insights into metabolic capacities of the gut microbiota in a fungus-cultivating termite (Odontotermes yunnanensis)	10.1371/journal.pone.0069184	PLOS ONE	2013	None
RISB2234	Amplicon	Coleoptera	Curculionidae	Scolytinae	Multiple species	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Horizontal	Detoxification of plant secondary compounds	Plant secondary metabolites	JF810915.1,JF810926.1	None	Mountain pine beetles colonizing historical and naive host trees are associated with a bacterial community highly enriched in genes contributing to terpene metabolism.	10.1128/aem.00068-13	Applied and Environmental Microbiology	2013	None
RISB2235	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Bacteria	Intracellular	None	confers protection against parasitoid wasps	Natural enemy resistance	None	None	Phage loss and the breakdown of a defensive symbiosis in aphids	10.1098/rspb.2012.2103	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2013	None
RISB2236	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Hamiltonella	Hamiltonella phage APSE	Bacteria	Intracellular	None	confers protection against parasitoid wasps, but only when H. defensa is itself infected by the phage A. pisum secondary endosymbiont (APSE)	Natural enemy resistance	None	None	Phage loss and the breakdown of a defensive symbiosis in aphids	10.1098/rspb.2012.2103	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2013	None
RISB2237	Symbiont	Lepidoptera	Erebidae	Erebinae	Anticarsia gemmatalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus cereus	Bacteria	None	None	mitigation of the negative effects of proteinase inhibitors produced by the host plant	Plant secondary metabolites	None	None	Proteolytic activity of gut bacteria isolated from the velvet bean caterpillar Anticarsia gemmatalis	10.1007/s00360-013-0744-5	JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY	2013	None
