Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Arawacus togarna	Lepidoptera	Lycaenidae	Theclinae	Arawacus	None	Description is currently not available	Wikipedia	None	None	None
Archaeoprepona demophon	Lepidoptera	Nymphalidae	Charaxinae	Archaeoprepona	None	Archaeoprepona demophon, the one-spotted prepona, banded king shoemaker, or demophon shoemaker is a butterfly belonging to the family Nymphalidae.	Wikipedia	None	None	None
Archotermopsis wroughtoni	Blattodea	Termopsidae	Termopsinae	Archotermopsis	None	Description is currently not available	Wikipedia	None	None	None
Arctia plantaginis	Lepidoptera	Erebidae	Arctiinae	Arctia	None	Arctia plantaginis is common and widely distributed at higher elevations throughout the Rocky Mountains and North Cascades. It is most common in wet subalpine meadows.This species is found throughout British Columbia, the Washington Cascade Range, and in the mountains of Idaho and western Montana. It does not occur in Oregon.	lumbricus@BY-NC	None	Scaffold	C:93.9%[S:92.8%,D:1.1%],F:1.3%,M:4.8%,n:1367
Atta colombica	Hymenoptera	Formicidae	Myrmicinae	Atta	None	Atta colombica is one of 47 species of leafcutter ants. This species is part of the Attini tribe (the fungus-growing ants).Workers of this species are maroon in colour, and are entirely matte, with no shiny spots.	Brian Gratwicke@BY-NC	GCA_001594045.1	Scaffold	C:99.3%[S:98.9%,D:0.4%],F:0.5%,M:0.2%,n:1367
Attagenus unicolor	Coleoptera	Dermestidae	Attageninae	Attagenus	None	The black carpet beetle  is a 3–5-millimetre-long  beetle that can be a serious household pest. The larvae grow to 7 mm  in length, are reddish brown in colour and covered with bristles. The larval form feeds on natural fibres, damaging carpets, furniture and clothing.	Wikipedia	None	None	None
Augochlora pura	Hymenoptera	Halictidae	Halictinae	Augochlora	None	Augochlora pura is a solitary sweat bee found primarily in the Eastern United States. It is known for its bright green color and its tendency to forage on a variety of plants. Inhabiting rotting logs, this bee can produce up to three generations per year. Both males and females have been observed licking sweat from human skin, most likely seeking salt.	Wikipedia	GCA_028453695.1	Chromosome	C:99.56%[S:99.49%,D:0.07%],F:0.07%,M:0.37%,n:1367
Aulonothroscus brevicollis	Coleoptera	Throscidae	None	Aulonothroscus	None	Description is currently not available	Wikipedia	None	None	None
Basilia andersoni	Diptera	Nycteribiidae	Nycteribiinae	Basilia	None	Description is currently not available	Wikipedia	None	None	None
Basilia ferruginea	Diptera	Nycteribiidae	Nycteribiinae	Basilia	None	Description is currently not available	Wikipedia	None	None	None
Basilia juquiensis	Diptera	Nycteribiidae	Nycteribiinae	Basilia	None	Description is currently not available	Wikipedia	None	None	None
Basilia lindolphoi	Diptera	Nycteribiidae	Nycteribiinae	Basilia	None	Description is currently not available	Wikipedia	None	None	None
Bathycoelia indica	Hemiptera	Pentatomidae	Pentatominae	Bathycoelia	None	Description is currently not available	Wikipedia	None	None	None
Beesonia ferrugineus	Hemiptera	Beesoniidae	None	Beesonia	None	Description is currently not available	Wikipedia	None	None	None
Blastopsylla occidentalis	Hemiptera	Aphalaridae	None	Blastopsylla	None	Description is currently not available	Wikipedia	None	None	None
Bombus flavescens	Hymenoptera	Apidae	Apinae	Bombus	None	Description is currently not available	Wikipedia	None	None	None
Bombus lepidus	Hymenoptera	Apidae	Apinae	Bombus	None	Description is currently not available	Wikipedia	None	None	None
Bombus modestus	Hymenoptera	Apidae	Apinae	Bombus	None	Description is currently not available	Wikipedia	None	None	None
Bombus pascuorum	Hymenoptera	Apidae	Apinae	Bombus	common carder bee	Bombus pascuorum is a species of bumblebee present in most of Europe in a wide variety of habitats such as meadows, pastures, waste ground, ditches and embankments, roads, and field margins, as well as gardens and parks in urban areas and forests and forest edges. It is similar in appearance to Bombus muscorum, and is replacing the species in Northern Britain.	NABU Nordvorpommern@BY-NC	GCA_905332965.1	Chromosome	C:99.4%[S:99.0%,D:0.4%],F:0.4%,M:0.2%,n:1367
Bombus pratorum	Hymenoptera	Apidae	Apinae	Bombus	None	The early bumblebee or early-nesting bumblebee  is a small bumblebee with a wide distribution in most of Europe and parts of Asia. It is very commonly found in the UK and emerges to begin its colony cycle as soon as February which is earlier than most other species, hence its common name. There is even some evidence that the early bumblebee may be able to go through two colony cycles in a year. Like other bumblebees, Bombus pratorum lives in colonies with queen and worker castes. Bombus pratorum queens use aggressive behavior rather than pheromones to maintain dominance over the workers.	Wikipedia	None	None	None
Bombus pyrosoma	Hymenoptera	Apidae	Apinae	Bombus	none	Bombus pyrosoma is a species in the family Apidae.	Home Mountain@BY-NC	GCA_014825855.1	Chromosome	C:98.0%[S:97.7%,D:0.3%],F:0.1%,M:1.9%,n:1367
Bombus trifasciatus	Hymenoptera	Apidae	Apinae	Bombus	None	Description is currently not available	Wikipedia	None	None	None
Bombus vestalis	Hymenoptera	Apidae	Apinae	Bombus	None	Bombus vestalis, the vestal cuckoo bumblebee, is a species of cuckoo bumblebee that lives in most of Europe, as well as North Africa and western Asia. It is a brood parasite that takes over the nests of other bee species. Its primary host is Bombus terrestris . After its initial classification as Psithyrus vestalis, this bumblebee recently was reclassified into the genus Bombus, subgenus Psithyrus.	Wikipedia	GCA_963556215.1	Chromosome	C:99.85%[S:99.41%,D:0.44%],F:0.00%,M:0.15%,n:1367
Bombus waltoni	Hymenoptera	Apidae	Apinae	Bombus	none	Bombus waltoni is a species in the family Apidae.	Unspecified, China Agricultural University@BY-NC-SA	GCA_014737395.1	Scaffold	C:99.2%[S:99.0%,D:0.2%],F:0.3%,M:0.5%,n:1367
Bostrichus capucinus	Coleoptera	Bostrichidae	Bostrichinae	Bostrichus	None	Description is currently not available	Wikipedia	None	None	None
Bostrychoplites normandi	Coleoptera	Bostrichidae	Bostrichinae	Bostrychoplites	None	Description is currently not available	Wikipedia	None	None	None
Bostrychoplites zickeli	Coleoptera	Bostrichidae	Bostrichinae	Bostrychoplites	None	Description is currently not available	Wikipedia	None	None	None
Brachymyrmex depilis	Hymenoptera	Formicidae	Formicinae	Brachymyrmex	None	Brachymyrmex depilis is a species of Formicine ant native to North America.	Wikipedia	None	None	None
Caligo atreus	Lepidoptera	Nymphalidae	Satyrinae	Caligo	None	Caligo atreus, the yellow-edged giant owl, is a butterfly of the family Nymphalidae. The species can be found from Mexico to Peru.	Wikipedia	None	None	None
Caligo brasiliensis	Lepidoptera	Nymphalidae	Satyrinae	Caligo	None	Caligo brasiliensis, the Brazilian owl, sulanus owl, or almond-eyed owl, is a butterfly of the family Nymphalidae. The species can be found in most of South America as various subspecies, including Brazil, Colombia, Venezuela and Ecuador. Its range extends through Trinidad, Honduras, Guatemala and Panama north to Mexico.	Wikipedia	None	None	None
Caligo illioneus	Lepidoptera	Nymphalidae	Satyrinae	Caligo	None	Caligo illioneus, the Illioneus giant owl, is an owl butterfly belonging to the nymphalid family, Morphinae subfamily, tribe Brassolini.	Wikipedia	None	None	None
Cassida vibex	Coleoptera	Chrysomelidae	Cassidinae	Cassida	None	Description is currently not available	Wikipedia	None	None	None
Cassida viridis	Coleoptera	Chrysomelidae	Cassidinae	Cassida	None	Cassida viridis, common name green tortoise beetle, is a species of beetle in the leaf beetle family .	Wikipedia	None	None	None
Casuarinicola australis	Hemiptera	Triozidae	None	Casuarinicola	None	Description is currently not available	Wikipedia	None	None	None
Catoblepia orgetorix	Lepidoptera	Nymphalidae	Satyrinae	Catoblepia	None	Catoblepia magnalis is a butterfly of the family Nymphalidae. There are three subspecies accepted within this species. The species is found in Ecuador, South America.	Lepidoptera Colombiana@CC BY-NC	None	None	None
Cavitermes tuberosus	Blattodea	Termitidae	Termitinae	Cavitermes	None	Description is currently not available	Wikipedia	None	None	None
Cetonia aurata	Coleoptera	Scarabaeidae	Cetoniinae	Cetonia	None	Cetonia aurata, called the rose chafer or the green rose chafer, is a beetle, 20 millimetres  long, that has a metallic structurally coloured green and a distinct V-shaped scutellum. The scutellum is the small V-shaped area between the wing cases; it may show several small, irregular, white lines and marks. The underside of the beetle has a coppery colour, and its upper side is sometimes bronze, copper, violet, blue/black, or grey.	Wikipedia	GCA_949128085.1	Chromosome	C:100.00%[S:99.34%,D:0.66%],F:0.00%,M:0.00%,n:1367
Charidotella sexpunctata	Coleoptera	Chrysomelidae	Cassidinae	Charidotella	None	Charidotella sexpunctata, the golden tortoise beetle, is a species of beetle in the leaf beetle family, Chrysomelidae. It is native to the Americas, and very broadly distributed. Charidotella sexpunctata was formerly known as Metriona bicolor. The species has also been seen in regions reaching up to Argentina.	Wikipedia	None	None	None
Chlosyne gaudialis	Lepidoptera	Nymphalidae	Nymphalinae	Chlosyne	None	Description is currently not available	Wikipedia	None	None	None
Chrysoperla externa	Neuroptera	Chrysopidae	Chrysopinae	Chrysoperla	None	Description is currently not available	Wikipedia	None	None	None
Cithaerias pireta	Lepidoptera	Nymphalidae	Satyrinae	Cithaerias	None	Cithaerias pireta, the blushing phantom, is a species of butterfly of the family Nymphalidae. It is found from Mexico south to South America.	Wikipedia	None	None	None
Clanis bilineata	Lepidoptera	Sphingidae	Smerinthinae	Clanis	None	Clanis bilineata, the two-lined velvet hawkmoth, is a species of moth in the family Sphingidae first described by Francis Walker in 1866.	Wikipedia	GCA_036417725.1	Chromosome	C:99.63%[S:99.41%,D:0.22%],F:0.00%,M:0.37%,n:1367
Coccus formicarii	Hemiptera	Coccidae	None	Coccus	None	Description is currently not available	Wikipedia	None	None	None
Coccus hesperidum	Hemiptera	Coccidae	None	Coccus	None	Coccus hesperidum is a soft scale insect in the family Coccidae with a wide host range. It is commonly known as brown soft scale. It has a cosmopolitan distribution and feeds on many different host plants. It is an agricultural pest, particularly of citrus and commercial greenhouse crops.	Wikipedia	None	None	None
Colaphellus bowringi	Coleoptera	Chrysomelidae	Chrysomelinae	Colaphellus	None	Colaphellus bowringi  is a species of leaf beetle. It was first characterized by English entomologist Joseph Sugar Baly in 1865 and is primarily found in southeastern China, as well as other areas of Asia.	None	None	None	None
Colladonus clitellarius	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus	None	Colladonus clitellarius, the saddled leafhopper, is a species of leafhopper in the genus Colladonus.	Wikipedia	None	None	None
Colocasiomyia xenalocasiae	Diptera	Drosophilidae	Drosophilinae	Colocasiomyia	None	Description is currently not available	Wikipedia	None	None	None
Condylostylus patibulatus	Diptera	Dolichopodidae	Sciapodinae	Condylostylus	None	Condylostylus patibulatus is a species of long-legged fly in the family Dolichopodidae.	Katja Schulz@BY	GCA_001014875.1	Scaffold	C:49.8%[S:49.3%,D:0.5%],F:15.4%,M:34.8%,n:1367
Constrictotermes cavifrons	Blattodea	Termitidae	Nasutitermitinae	Constrictotermes	None	Constrictotermes cavifrons is a species of Amazonian nasute termite within the genus Constrictotermes. It forms large and diurnal open-foraging trails to and from its sources of food which consists largely of lichens and other microepiphytes. The nests of C. cavifrons are arboreal and characterized by a cleared central runway from which foraging raids begin.	Wikipedia	None	None	None
Coptotermes curvignathus	Blattodea	Rhinotermitidae	Coptotermitinae	Coptotermes	None	Description is currently not available	Wikipedia	None	None	None
Cornitermes pugnax	Blattodea	Termitidae	Syntermitinae	Cornitermes	None	Description is currently not available	Wikipedia	None	None	None
Cortaritermes intermedius	Blattodea	Termitidae	Nasutitermitinae	Cortaritermes	None	Description is currently not available	Wikipedia	None	None	None
Cryptes baccatus	Hemiptera	Coccidae	None	Cryptes	None	Description is currently not available	Wikipedia	None	None	None
Cryptocercus clevelandi	Blattodea	Cryptocercidae	None	Cryptocercus	None	Cryptocercus clevelandi is a species of cockroach in the family Cryptocercidae. It is found in North America.	Wikipedia	None	None	None
Cryptocercus kyebangensis	Blattodea	Cryptocercidae	None	Cryptocercus	None	Description is currently not available	Wikipedia	None	None	None
Cryptolestes pusillus	Coleoptera	Laemophloeidae	None	Cryptolestes	None	Cryptolestes pusillus is a species of lined flat bark beetle native to Europe. It is also known as the flat grain beetle. It feeds on grain products, and is considered a pest in Canada.	Wikipedia	None	None	None
Cryptolestes turcicus	Coleoptera	Laemophloeidae	None	Cryptolestes	None	Cryptolestes turcicus, the flour mill beetle, is a species of lined flat bark beetle in the family Laemophloeidae. It is found in North America and Europe.	Wikipedia	None	None	None
Cryptotermes cavifrons	Blattodea	Kalotermitidae	Cryptotermitinae	Cryptotermes	None	Description is currently not available	Wikipedia	None	None	None
Ctenarytaina eucalypti	Hemiptera	Aphalaridae	None	Ctenarytaina	None	Description is currently not available	Wikipedia	None	None	None
Ctenarytaina insularis	Hemiptera	Aphalaridae	None	Ctenarytaina	None	Description is currently not available	Wikipedia	None	None	None
Ctenarytaina longicauda	Hemiptera	Aphalaridae	None	Ctenarytaina	None	Description is currently not available	Wikipedia	None	None	None
Ctenarytaina pollicaris	Hemiptera	Aphalaridae	None	Ctenarytaina	None	Description is currently not available	Wikipedia	None	None	None
Ctenarytaina thysanura	Hemiptera	Aphalaridae	None	Ctenarytaina	None	Description is currently not available	Wikipedia	None	None	None
Culex tritaeniorhynchus	Diptera	Culicidae	Culicinae	Culex	None	Culex  tritaeniorhynchus is a species of mosquito and is the main vector of the disease Japanese encephalitis. This mosquito is a native of northern Asia, and parts of Africa . Females target large animals for blood extraction, including cattle and swine, and are strongly anthropophilic.	Fan Gao@	None	None	None
Culex usquatus	Diptera	Culicidae	Culicinae	Culex	None	Description is currently not available	Wikipedia	None	None	None
Cycloneda sanguinea	Coleoptera	Coccinellidae	Coccinellinae	Cycloneda	None	Coccinella sanguinea Linnaeus, 1763	Wikipedia	None	None	None
Cynaeus angustus	Coleoptera	Tenebrionidae	Tenebrioninae	Cynaeus	None	Description is currently not available	Wikipedia	GCA_030157275.1	Chromosome	C:99.92%[S:99.85%,D:0.07%],F:0.07%,M:0.00%,n:1367
Cystococcus campanidorsalis	Hemiptera	Eriococcidae	None	Cystococcus	None	Description is currently not available	Lyn Cook@CC BY-NC-SA	None	None	None
Cystococcus echiniformis	Hemiptera	Eriococcidae	None	Cystococcus	None	Description is currently not available	Michael Tervo@CC BY-NC	None	None	None
Cystococcus pomiformis	Hemiptera	Eriococcidae	None	Cystococcus	None	Description is currently not available	geoffbyrne@CC BY-NC	None	None	None
Dermestes maculatus	Coleoptera	Dermestidae	Dermestinae	Dermestes	None	Dermestes maculatus is a species of beetle with a worldwide distribution, being present on all continents except Antarctica. In Europe, it is present in all countries.	Wikipedia	None	None	None
Dicuspiditermes nemorosus	Blattodea	Termitidae	Termitinae	Dicuspiditermes	None	Dicuspiditermes nemorosus, is a species of small termite of the genus Dicuspiditermes. It is found in Sri Lanka, India, Malaysia and Borneo. The species is known to build three different types of mounding nests, where two termitaria have single protruding nest structure and third nest type is typified by several protruding nest all connected at the base.	Lobopod@CC BY-NC	None	None	None
Dinapate wrightii	Coleoptera	Bostrichidae	Bostrichinae	Dinapate	None	Dinapate wrightii, also known as the giant palm borer, is the largest species in the beetle family Bostrichidae, and sometimes a pest of palm trees, especially Washingtonia filifera and Washingtonia robusta. It is native to extreme southern California and possibly Baja California, and only commonly recorded from the Coachella Valley.	Wikipedia	None	None	None
Dinoderus bifoveolatus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus	None	Description is currently not available	Wikipedia	None	None	None
Dinoderus minutus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus	None	Dinoderus minutus, the bamboo borer, is a species of wood-boring beetle. In tropical regions , it is one of the main pests of bamboo, attracted by the internal starch. It is native to Asia but has spread widely with the trade of infested bamboo wood and bamboo products.	Wikipedia	None	None	None
Dinoderus porcellus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus	None	Description is currently not available	Wikipedia	None	None	None
Dorymyrmex brunneus	Hymenoptera	Formicidae	Dolichoderinae	Dorymyrmex	None	Dorymyrmex brunneus is a species of ant in the genus Dorymyrmex. Described by Auguste-Henri Forel in 1908, the species is endemic to several nations in South America.	Wikipedia	None	None	None
Drepanotermes rubriceps	Blattodea	Termitidae	Termitinae	Drepanotermes	None	Description is currently not available	Wikipedia	None	None	None
Drosophila biauraria	Diptera	Drosophilidae	Drosophilinae	Drosophila	None	Description is currently not available	Wikipedia	None	None	None
Drosophila nigrosparsa	Diptera	Drosophilidae	Drosophilinae	Drosophila	None	Description is currently not available	Wikipedia	None	None	None
Dryas iulia	Lepidoptera	Nymphalidae	Heliconiinae	Dryas	None	Dryas iulia， commonly called the Julia butterfly, Julia heliconian, the flame, or flambeau, is a species of brush-footed butterfly. The sole representative of its genus Dryas, it is native from Brazil to southern Texas and Florida, and in summer can sometimes be found as far north as eastern Nebraska. Over 15 subspecies have been described.	Wikipedia	None	None	None
Dulcedo polita	Lepidoptera	Nymphalidae	Satyrinae	Dulcedo	None	Dulcedo is a Neotropical butterfly genus from the subfamily Satyrinae in the family Nymphalidae. The genus is monotypic: its sole species is Dulcedo polita, which occurs from Nicaragua to Colombia.	Wikipedia	None	None	None
Durganda rubra	Hemiptera	Reduviidae	Reduviinae	Durganda	None	Description is currently not available	Wikipedia	None	None	None
Elasmostethus humeralis	Hemiptera	Acanthosomatidae	None	Elasmostethus	None	Description is currently not available	Wikipedia	None	None	None
Embiratermes neotenicus	Blattodea	Termitidae	Syntermitinae	Embiratermes	None	Description is currently not available	Wikipedia	None	None	None
Eocanthecona furcellata	Hemiptera	Pentatomidae	Asopinae	Eocanthecona	None	Description is currently not available	Wikipedia	None	None	None
Eriococcus coriaceus	Hemiptera	Eriococcidae	None	Eriococcus	None	Eriococcus coriaceus is a scale insect of the genus Eriococcus. Its common names include blue gum scale, gum-tree scale and common gum scale.	Wikipedia	None	None	None
Eriococcus spurius	Hemiptera	Eriococcidae	None	Eriococcus	None	Description is currently not available	Wikipedia	None	None	None
Euborellia annulipes	Dermaptera	Anisolabididae	None	Euborellia	None	The ringlegged earwig  is a species of earwig in the family Anisolabididae.	Wikipedia	None	None	None
Eucalyptolyma maideni	Hemiptera	Aphalaridae	None	Eucalyptolyma	None	Description is currently not available	Wikipedia	None	None	None
Euderia squamosa	Coleoptera	Bostrichidae	Euderiinae	Euderia	None	Euderia squamosa is a species of beetles. It is the only member of the monotypic genus Euderia and subfamily Euderiinae.	Wikipedia	None	None	None
Eupeodes pomus	Diptera	Syrphidae	Syrphinae	Eupeodes	None	Eupeodes pomus, the short-tailed aphideater, is a species of syrphid fly observed across North America. Hoverflies can remain nearly motionless in flight. The adults are also known as flower flies for they are commonly found on flowers from which they get both energy-giving nectar and protein-rich pollen. Larvae have been reported feeding from various aphids.	Wikipedia	None	None	None
Euptychia westwoodi	Lepidoptera	Nymphalidae	Satyrinae	Euptychia	None	Description is currently not available	Wikipedia	None	None	None
Formica subsericea	Hymenoptera	Formicidae	Formicinae	Formica	None	Formica subsericea, colloquially known as the black field ant, is a species of ant in the genus Formica. It is found in the eastern United States and Canada. Workers of this species are incredibly fast and quite timid. Workers of this species are commonly found working as slaves in Polyergus colonies. Nuptial flights typically occur in July or August. It is often confused with another Formica species, Formica fusca.	Wikipedia	None	None	None
Frankliniella panamensis	Thysanoptera	Thripidae	Thripinae	Frankliniella	None	Description is currently not available	Wikipedia	None	None	None
Geina sheppardi	Lepidoptera	Pterophoridae	Pterophorinae	Geina	None	Geina sheppardi, or Sheppard's plume moth, is a moth of the family Pterophoridae. It known from western North America, including Mississippi, Ontario and Wisconsin.	Anita Gould@CC BY-NC	None	None	None
Gibbium aequinoctiale	Coleoptera	Ptinidae	Ptininae	Gibbium	None	Gibbium aequinoctiale, the smooth spider beetle, is a species of spider beetle in the family Ptinidae. It is found in the Caribbean, Europe and Northern Asia , Central America, North America, and South America. It has been reported from many parts of the world as Gibbium psylloides.	Wikipedia	None	None	None
Globitermes brachycerastes	Blattodea	Termitidae	Termitinae	Globitermes	None	Description is currently not available	Wikipedia	None	None	None
Globitermes globosus	Blattodea	Termitidae	Termitinae	Globitermes	None	Description is currently not available	Wikipedia	None	None	None
Glossina palpalis gambiensis	Diptera	Glossinidae	None	Glossina	None	Description is currently not available	Wikipedia	None	None	None
Glycaspis granulata	Hemiptera	Aphalaridae	None	Glycaspis	None	Description is currently not available	Wikipedia	None	None	None
Glyptotermes fuscus	Blattodea	Kalotermitidae	Glyptotermitinae	Glyptotermes	None	Description is currently not available	Wikipedia	None	None	None
Glyptotermes satsumensis	Blattodea	Kalotermitidae	Glyptotermitinae	Glyptotermes	None	Description is currently not available	Wikipedia	None	None	None
Gromphadorhina portentosa	Blattodea	Blaberidae	Oxyhaloinae	Gromphadorhina	None	The Madagascar hissing cockroach , also known as the hissing cockroach or simply hisser, is one of the largest species of cockroach, reaching 5 to 7.5 centimetres  at maturity. They are native to the island of Madagascar, which is off the African mainland, where they are commonly found in rotting logs. It is one of some 20 known species of large hissing roaches from Madagascar, many of which are kept as pets, and often confused with one another by pet dealers; in particular, G. portentosa is commonly confused with G. oblongonota and G. picea.	Wikipedia	None	None	None
Gryllodes sigillatus	Orthoptera	Gryllidae	Gryllinae	Gryllodes	None	Gryllodes sigillatus, the tropical house cricket, Indian house cricket or banded cricket, is a small cricket probably native to southwestern Asia, but has spread throughout tropical regions worldwide. Like its relative the house cricket, the tropical house cricket is also raised commercially for feeding certain pets such as reptiles, birds, amphibians, and insectivorous arthropods.	Wikipedia	None	None	None
Gryllus bimaculatus	Orthoptera	Gryllidae	Gryllinae	Gryllus	two-spotted cricket	Gryllus bimaculatus is a species of cricket in the subfamily Gryllinae.It has also been called the African or Mediterranean field cricket, although its recorded distribution also includes much of Asia, including Korea, China and Indochina through to Borneo. It can be discriminated from other Gryllus species by the two dot-like marks on the base of its wings.	chris9900@BY-NC	GCA_017312745.1	Scaffold	C:96.9%[S:95.3%,D:1.6%],F:1.0%,M:2.1%,n:1367
Habropoda laboriosa	Hymenoptera	Apidae	Apinae	Habropoda	southeastern blueberry bee	Habropoda laboriosa is a bee in the family Apidae.It is native to the southeastern United States.It is regarded as the most efficient pollinator of southern rabbiteye blueberries, as the flowers require buzz pollination, and H. laboriosa is one of the few bees that exhibit this behavior. It is active for only a few weeks a year, while the blueberries are in flower in early spring.	Margarita Lankford@BY-NC	GCA_001263275.1	Scaffold	C:97.9%[S:97.6%,D:0.3%],F:0.7%,M:1.4%,n:1367
Haemagogus janthinomys	Diptera	Culicidae	Culicinae	Haemagogus	None	Description is currently not available	Wikipedia	None	None	None
Hamadryas feronia	Lepidoptera	Nymphalidae	Biblidinae	Hamadryas	None	Hamadryas feronia, the blue cracker or variable cracker, is a species of cracker butterfly in the family Nymphalidae. It is found in the southern parts of North America and South America and southwards Brazil.	Wikipedia	None	None	None
Heliconius cydno	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	cydno longwing	Heliconius cydno is a nymphalid butterfly that ranges from Mexico to northern South America. It is typically found in the forest understory and deposits its eggs on a variety of plants of the genus Passiflora. It is a member of the Heliconiinae subfamily of Central and South America, and it is the only heliconiine that can be considered oligophagous. H. cydno is also characterized by hybridization and Müllerian mimicry.Wing coloration plays a key role in mate choice and has further implications in regards to sympatric speciation. Macrolide scent gland extracts and wing-clicking behavior further characterize this species.	Gonzalo Mucientes Sandoval@BY-NC-ND	GCA_900068235.1	Scaffold	C:66.8%[S:66.3%,D:0.5%],F:21.1%,M:12.1%,n:1367
Heliconius sara	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	None	The Sara longwing  is a species of neotropical heliconiid butterfly found from Mexico to the Amazon Basin and southern Brazil. It is a colourful species: the dorsal wing surface is black with a large medial patch of metallic blue that is framed by two bands of white on the forewings.  The ventral wing surface is a dull brown to black with muted bands and small red spots on the proximal margin; total wingspan is 55–60 mm.	Wikipedia	GCA_917862395.2	Chromosome	C:99.85%[S:99.63%,D:0.22%],F:0.15%,M:0.00%,n:1367
Heterobostrychus aequalis	Coleoptera	Bostrichidae	Bostrichinae	Heterobostrychus	None	Heterobostrychus aequalis, known generally as oriental wood borer, is a species of horned powder-post beetle in the family Bostrichidae. Other common names include the lesser auger beetle  and oriental bostrichid. It is found in Africa, Australia, Europe and Northern Asia , North America, Oceania, and Southern Asia.	Wikipedia	None	None	None
Heterobostrychus hamatipennis	Coleoptera	Bostrichidae	Bostrichinae	Heterobostrychus	None	Heterobostrychus hamatipennis, the Chinese auger beetle, is a species of horned powder-post beetle in the family Bostrichidae. It is found in Africa, Europe and Northern Asia , North America, and Southern Asia.	Wikipedia	None	None	None
Heterotermes tenuior	Blattodea	Rhinotermitidae	Heterotermitinae	Heterotermes	None	Description is currently not available	Wikipedia	None	None	None
Hippodamia convergens	Coleoptera	Coccinellidae	Coccinellinae	Hippodamia	None	Hippodamia convergens, commonly known as the convergent lady beetle, is one of the most common lady beetles in North America and is found throughout the continent. They tend to live a variety of habitats, including grasslands and forests.	Wikipedia	None	None	None
Hodotermopsis sjostedti	Blattodea	Termopsidae	Termopsinae	Hodotermopsis	None	Description is currently not available	Wikipedia	None	None	None
Homallotermes eleanorae	Blattodea	Termitidae	Termitinae	Homallotermes	None	Description is currently not available	Wikipedia	None	None	None
Hospitalitermes medioflavus	Blattodea	Termitidae	Nasutitermitinae	Hospitalitermes	None	Description is currently not available	Wikipedia	None	None	None
Hybomitra lurida	Diptera	Tabanidae	Tabaninae	Hybomitra	None	Hybomitra lurida  is a species of horse-fly in the family Tabanidae. It is found across central and Northern Europe and Asia. It is a large fly, between 12–15 millimetres long.	Owen Ridgen@	None	None	None
Icerya purchasi	Hemiptera	Monophlebidae	None	Icerya	None	Icerya purchasi  is a scale insect that feeds on more than 80 families of woody plants, most notably on Citrus and Pittosporum. Originally described in 1878 from specimens collected in New Zealand as pests of kangaroo acacia and named by W.M. Maskell "after the Rev. Dr. Purchas who,  believe, first found it", it is now found worldwide where citrus crops are grown. The cottony cushion scale originates from Australia.	Wikipedia	GCA_952773005.1	Chromosome	C:92.39%[S:91.44%,D:0.95%],F:0.95%,M:6.66%,n:1367
Icerya seychellarum	Hemiptera	Monophlebidae	None	Icerya	None	Description is currently not available	Wikipedia	None	None	None
Ips acuminatus	Coleoptera	Curculionidae	Scolytinae	Ips	None	Description is currently not available	Wikipedia	None	None	None
Ips cembrae	Coleoptera	Curculionidae	Scolytinae	Ips	None	Ips cembrae, known generally as larch bark beetle or eight-toothed larch bark beetle, is a species of typical bark beetle in the family Curculionidae. Its habitat is Euro-Siberian, ranging from sea level to sub-alpine. It was first recorded in Great Britain in 1955. Populations were said to be found in Japan and China, but further research determined that those were actually Ips subelongatus.	Wikipedia	None	None	None
Ips duplicatus	Coleoptera	Curculionidae	Scolytinae	Ips	None	Description is currently not available	Wikipedia	None	None	None
Ips nitidus	Coleoptera	Curculionidae	Scolytinae	Ips	none	Ips nitidus is a species of the family Curculionidae.	CNC/BIO Photography Group, Centre for Biodiversity Genomics@BY-NC-SA	GCA_018691245.1	Scaffold	C:98.3%[S:89.5%,D:8.8%],F:0.3%,M:1.4%,n:1367
Ips sexdentatus	Coleoptera	Curculionidae	Scolytinae	Ips	None	Ips sexdentatus is a species of weevil in the beetle family Curculionidae. It is found in Europe.	Wikipedia	None	None	None
Ischnocodia annulus	Coleoptera	Chrysomelidae	Cassidinae	Ischnocodia	None	Ischnocodia annulus, common name golden target beetle or ringed tortoise beetle, is a species of turtle beetle in the family Chrysomelidae.	Wikipedia	None	None	None
Jemadia pseudognetus	Lepidoptera	Hesperiidae	Pyrrhopyginae	Jemadia	None	Description is currently not available	Wikipedia	GCA_018244755.1	Contig	C:73.52%[S:73.45%,D:0.07%],F:20.26%,M:5.63%,n:1367
Labiotermes labralis	Blattodea	Termitidae	Syntermitinae	Labiotermes	None	Description is currently not available	Wikipedia	None	None	None
Lachnodius eucalypti	Hemiptera	Eriococcidae	None	Lachnodius	None	Description is currently not available	Wikipedia	None	None	None
Lasioglossum albipes	Hymenoptera	Halictidae	Halictinae	Lasioglossum	None	Lasioglossum albipes is a Palearctic species of sweat bee.	Jon Mortin@BY-NC	GCA_000346575.1	Scaffold	C:98.6%[S:96.9%,D:1.7%],F:0.8%,M:0.6%,n:1367
