序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
1955	Symbiont	Coleoptera	Curculionidae	Entiminae	Sitona obsoletus	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	potential defensive properties against he parasitoid Microctonus aethiopoides	Natural enemy resistance	None	Endosymbiotic candidates for parasitoid defense in exotic and native New Zealand weevils	10.1007/s00248-014-0561-8	MICROBIAL ECOLOGY	2015	None
1956	Symbiont	Hymenoptera	Formicidae	Myrmicinae	Atta cephalotes	Basidiomycota	Agaricales	Leucoagaricus	Genus	Leucoagaricus	Leucoagaricus gongylophorus	Fungi	certain enzymes produced by symbiont may be particularly important in the initial degradation of foliar material for host	Digestive enzymes	None	Enrichment and Broad Representation of Plant Biomass-Degrading Enzymes in the Specialized Hyphal Swellings of Leucoagaricus gongylophorus, the Fungal Symbiont of Leaf-Cutter Ants	10.1371/journal.pone.0134752	PLOS ONE	2015	None
1957	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Epiphyas postvittana	Ascomycota	Helotiales	Botrytis	Genus	Botrytis	Botrytis cinerea	Fungi	influence the feeding behavior of the larvae of E. postvittana , favoring their development and survival, enhance host life-history performance of E. postvittana	Feeding habits,Growth and Development	None	Epiphyas postvittana (Lepidoptera: Tortricidae)— Botrytis cinerea (Helotiales: Sclerotiniaceae)— Vitis vinifera (Vitales: Vitaceae) Interaction: The Role of B. cinerea on the Development of E. postvittana in Synthetic Nutritional Media	10.1093/jee/tov131	Journal of Economic Entomology	2015	None
1958	Symbiont	Hymenoptera	Aphelinidae	Aphelininae	Aphelinus abdominalis	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Bacteria	Provides resistance to certain parasitic wasps, such as Aphidius	Natural enemy resistance	None	Evidence for specificity in symbiont-conferred protection against parasitoids	10.1098/rspb.2015.0977	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2015	None
1959	Symbiont	Hemiptera	Pyrrhocoridae	None	Pyrrhocoridae	Bacillota	Eubacteriales	Clostridium	Genus	Clostridium	Clostridium	Bacteria	None	None	SRP050243	Evolutionary transition in symbiotic syndromes enabled diversification of phytophagous insects on an imbalanced diet	10.1038/ismej.2015.75	ISME JOURNAL	2015	None
1960	Symbiont	Hemiptera	Pyrrhocoridae	None	Pyrrhocoridae	Actinomycetota	Eggerthellales	Gordonibacter	Genus	Gordonibacter	Gordonibacter	Bacteria	None	None	SRP050243	Evolutionary transition in symbiotic syndromes enabled diversification of phytophagous insects on an imbalanced diet	10.1038/ismej.2015.75	ISME JOURNAL	2015	None
1961	Symbiont	Hemiptera	Pyrrhocoridae	None	Pyrrhocoridae	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella	Bacteria	None	None	SRP050243	Evolutionary transition in symbiotic syndromes enabled diversification of phytophagous insects on an imbalanced diet	10.1038/ismej.2015.75	ISME JOURNAL	2015	None
1962	Symbiont	Hemiptera	Pyrrhocoridae	None	Pyrrhocoridae	Actinomycetota	Coriobacteriales	None	Family	Coriobacteriaceae	Coriobacteriaceae	Bacteria	None	None	SRP050243	Evolutionary transition in symbiotic syndromes enabled diversification of phytophagous insects on an imbalanced diet	10.1038/ismej.2015.75	ISME JOURNAL	2015	None
1963	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis craccivora	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	facultative endosymbionts mediate dietary breadth in a polyphagous herbivore	Nutrient provision	None	Facultative endosymbionts mediate dietary breadth in a polyphagous herbivore	10.1111/1365-2435.12459	FUNCTIONAL ECOLOGY	2015	None
1964	Symbiont	Coleoptera	Attelabidae	Attelabinae	Euops chinensis	Ascomycota	Eurotiales	Penicillium	Genus	Penicillium	Penicillium herquei	Fungi	serve to inhibit microbial ‘weeds’ and pests, thus protecting the fungal garden against potential infection	Fungal farming,Antimicrobials	KC203056	Farming of a defensive fungal mutualist by an attelabid weevil	10.1038/ismej.2014.263	ISME JOURNAL	2015	None
1965	Symbiont	Diptera	Culicidae	Culicinae	Aedes albopictus	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia pipientis	Bacteria	None	None	None	French invasive Asian tiger mosquito populations harbor reduced bacterial microbiota and genetic diversity compared to Vietnamese autochthonous relatives	10.3389/fmicb.2015.00970	FRONTIERS IN MICROBIOLOGY	2015	None
1966	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia penicillata	Fungi	produced large amounts of 2-methyl-3-buten-2-ol (MB), the major component in the beetles' aggregation pheromone blend	Chemical biosynthesis	None	Fungal Symbionts of the Spruce Bark Beetle Synthesize the Beetle Aggregation Pheromone 2-Methyl-3-buten-2-ol	10.1007/s10886-015-0617-3	JOURNAL OF CHEMICAL ECOLOGY	2015	None
1967	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia europhioides	Fungi	produced large amounts of 2-methyl-3-buten-2-ol (MB), the major component in the beetles' aggregation pheromone blend	Chemical biosynthesis	None	Fungal Symbionts of the Spruce Bark Beetle Synthesize the Beetle Aggregation Pheromone 2-Methyl-3-buten-2-ol	10.1007/s10886-015-0617-3	JOURNAL OF CHEMICAL ECOLOGY	2015	None
1968	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Ips paraconfusus	Ascomycota	Ophiostomatales	Leptographium	Genus	Grosmannia	Grosmannia penicillata	Fungi	produce beetle aggregation pheromones	Chemical biosynthesis	None	Fungal Symbionts of the Spruce Bark Beetle Synthesize the Beetle Aggregation Pheromone 2-Methyl-3-buten-2-ol	10.1007/s10886-015-0617-3	JOURNAL OF CHEMICAL ECOLOGY	2015	Microbial Volatiles: 2-Methyl-3-buten-2-ol
1969	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Ips paraconfusus	Ascomycota	Ophiostomatales	Leptographium	Genus	Grosmannia	Grosmannia europhioides	Fungi	produced large amounts of 2-methyl-3-buten-2-ol (MB), the major component in the beetles’ aggregation pheromone blend, facilitating aggregation behavior	Chemical biosynthesis	None	Fungal Symbionts of the Spruce Bark Beetle Synthesize the Beetle Aggregation Pheromone 2-Methyl-3-buten-2-ol	10.1007/s10886-015-0617-3	JOURNAL OF CHEMICAL ECOLOGY	2015	Microbial Volatiles: 2-Methyl-3-buten-2-ol
1970	Symbiont	Hymenoptera	Eulophidae	Tetrastichinae	Leptocybe invasa	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Rickettsia	Bacteria	Rickettsia as the causal agent of thelytokous parthenogenesis in L. invasa	Reproductive manipulation	KP233904-KP233995	Genetic Diversity of the Invasive Gall Wasp Leptocybe invasa (Hymenoptera: Eulophidae) and of its Rickettsia Endosymbiont, and Associated Sex-Ratio Differences	10.1371/journal.pone.0124660	PLOS ONE	2015	None
1971	Symbiont	Hemiptera	Aleyrodidae	None	Aleyrodidae	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Genus	Candidatus Portiera	Candidatus Portiera aleyrodidarum	Bacteria	participate in the synthesis of all Essential amino acid and Carotenoid	Nutrient provision	GCA_000953395.1,GCA_000953295.1,GCA_000953415.1	Genome Evolution in the Primary Endosymbiont of Whiteflies Sheds Light on Their Divergence	10.1093/gbe/evv038	GENOME BIOLOGY AND EVOLUTION	2015	None
1972	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Bacteria	the genome of Hamiltonella revealed that this secondary symbiont can not only provide vitamins and cofactors, but also complete the missing steps of some of the pathways of Portiera	Nutrient provision	GCA_000258345.2	Genome reduction and potential metabolic complementation of the dual endosymbionts in the whitefly Bemisia tabaci	10.1186/s12864-015-1379-6	BMC GENOMICS	2015	None
1973	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Genus	Candidatus Portiera	Candidatus Portiera aleyrodidarum	Bacteria	a primary symbiont, which compensates for the deficient nutritional composition of its food sources	Nutrient provision	CP007563	Genome reduction and potential metabolic complementation of the dual endosymbionts in the whitefly Bemisia tabaci	10.1186/s12864-015-1379-6	BMC GENOMICS	2015	None
1974	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma poulsonii MSRO	Bacteria	male-killing Spiroplasma bacterium	Reproductive manipulation	GCA_000820525.2	Genome Sequence of the Drosophila melanogaster Male-Killing Spiroplasma Strain MSRO Endosymbiont	10.1128/mbio.02437-14	MBIO	2015	None
1975	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma poulsonii MSRO_BK	Bacteria	male-killing Spiroplasma bacterium	Reproductive manipulation	GCA_009866525.1	Genome Sequence of the Drosophila melanogaster Male-Killing Spiroplasma Strain MSRO Endosymbiont	10.1128/mbio.02437-14	MBIO	2015	None
1976	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Ascomycota	None	None	Kingdom	Fungi	yeast-like symbiont	Fungi	supporting sterol biosynthesis and nitrogen recycling for the host	Nitrogen fixation	GCA_000758425.1	Genomic Analysis of an Ascomycete Fungus from the Rice Planthopper Reveals How It Adapts to an Endosymbiotic Lifestyle	10.1093/gbe/evv169	GENOME BIOLOGY AND EVOLUTION	2015	None
1977	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter pittii	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1978	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter sp.	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1979	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus avium	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1980	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas japonica	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1981	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas monteilii	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1982	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Blattella germanica	Bacillota	Lactobacillales	Weissella	Genus	Weissella	Weissella cibaria	Bacteria	gut microbiota contributes to production of VCAs that act as fecal aggregation agents and that cockroaches discriminate among the complex odors that emanate from a diverse microbial community	None	None	Gut bacteria mediate aggregation in the German cockroach	10.1073/pnas.1504031112	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	None
1983	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Ascomycota	Pleosporales	Alternaria	Genus	Alternaria	Alternaria sp.	Fungi	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1984	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Basidiomycota	Agaricales	Coprinellus	Genus	Coprinellus radians	Coprinellus radians	Fungi	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1985	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus sp.	Bacteria	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1986	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Pseudomonadota	Enterobacterales	Erwinia	Genus	Erwinia	Erwinia sp.	Bacteria	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1987	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea sp.	Bacteria	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1988	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Ascomycota	Pleosporales	Preussia	Genus	Preussia	Preussia sp.	Fungi	producing cellulase and amylase	Digestive enzymes	None	Isolation and characterization of enzyme-producing bacteria of the silkworm larval gut in bioregenerative life support system	10.1016/j.actaastro.2015.07.010	Acta Astronautica	2015	None
1989	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus	Bacteria	activity of lignocellulose- degrading enzymes	Digestive enzymes	KM096604,KM096605	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1990	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus pumilus	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096605	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1991	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus casseliflavus	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096606	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1992	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella spp.	Bacteria	activity of lignocellulose- degrading enzymes	Digestive enzymes	KM096608,KM096598,KM096599	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1993	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella oxytoca	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096608	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1994	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella pneumoniae	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096599	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1995	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella variicola	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096598	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1996	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Actinomycetota	Micrococcales	Microbacterium	Genus	Microbacterium	Microbacterium schleiferi	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096601	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1997	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Actinomycetota	Micrococcales	Microbacterium	Genus	Microbacterium	Microbacterium hominis	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096603	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1998	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas maltophilia	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096600	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
1999	Symbiont	Lepidoptera	Crambidae	Crambinae	Diatraea saccharalis	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas rhizophila	Bacteria	possess cellulose degrading activity	Digestive enzymes	KM096602	Isolation of cellulolytic bacteria from the intestine of Diatraea saccharalis larvae and evaluation of their capacity to degrade sugarcane biomass	10.1186/s13568-015-0101-z	AMB EXPRESS	2015	None
2000	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma chilonis	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter	Bacteria	could significantly increase both female count	Reproductive manipulation	HM629807	Isolation of microbes associated with field-collected populations of the egg parasitoid, Trichogramma chilonis capable of enhancing biotic fitness	10.1080/09583157.2015.1018134	BIOCONTROL SCIENCE AND TECHNOLOGY	2015	None
2001	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma chilonis	Ascomycota	Serinales	Metschnikowia	Genus	Metschnikowia	Metschnikowia reukaufii	Fungi	capable of enhancing biotic fitness, could significantly increase both female count	Reproductive manipulation	HM222405-HM222408	Isolation of microbes associated with field-collected populations of the egg parasitoid, Trichogramma chilonis capable of enhancing biotic fitness	10.1080/09583157.2015.1018134	BIOCONTROL SCIENCE AND TECHNOLOGY	2015	None
2002	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma chilonis	Pseudomonadota	Hyphomicrobiales	Ochrobactrum	Genus	Ochrobactrum	Ochrobactrum	Bacteria	could significantly increase both female count	Reproductive manipulation	HM629806	Isolation of microbes associated with field-collected populations of the egg parasitoid, Trichogramma chilonis capable of enhancing biotic fitness	10.1080/09583157.2015.1018134	BIOCONTROL SCIENCE AND TECHNOLOGY	2015	None
2003	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma chilonis	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas	Bacteria	could significantly increase both female count	Reproductive manipulation	HM629804	Isolation of microbes associated with field-collected populations of the egg parasitoid, Trichogramma chilonis capable of enhancing biotic fitness	10.1080/09583157.2015.1018134	BIOCONTROL SCIENCE AND TECHNOLOGY	2015	None
2004	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma chilonis	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas maltophilia	Bacteria	could significantly increase both female count	Reproductive manipulation	HM629805	Isolation of microbes associated with field-collected populations of the egg parasitoid, Trichogramma chilonis capable of enhancing biotic fitness	10.1080/09583157.2015.1018134	BIOCONTROL SCIENCE AND TECHNOLOGY	2015	None
2005	Symbiont	Hemiptera	Psyllidae	Diaphorininae	Diaphorina citri	Pseudomonadota	None	Candidatus Profftella	Genus	Candidatus Profftella	Candidatus Profftella armatura	Bacteria	produce proteins involved in polyketide biosynthesis,which were up-regulated in CLas(+) insects (associated with citrus greening disease)	None	None	Metabolic Interplay between the Asian Citrus Psyllid and Its Profftella Symbiont: An Achilles' Heel of the Citrus Greening Insect Vector	10.1371/journal.pone.0140826	PLOS ONE	2015	None
2006	Amplicon	Coleoptera	Chrysomelidae	Cryptocephalinae	Cryptocephalus marginellus	None	None	None	None	None	gut bacteria	Bacteria	None	None	ERR431477-ERR431472	Metamicrobiomics in herbivore beetles of the genus Cryptocephalus (Chrysomelidae): toward the understanding of ecological determinants in insect symbiosis	10.1111/1744-7917.12143	INSECT SCIENCE	2015	None
2007	Amplicon	Coleoptera	Chrysomelidae	Cryptocephalinae	Cryptocephalus marginellus	None	None	None	None	None	bacteria	Bacteria	None	None	ERX397747-ERX397752	Metamicrobiomics in herbivore beetles of the genus Cryptocephalus (Chrysomelidae): toward the understanding of ecological determinants in insect symbiosis	10.1111/1744-7917.12143	INSECT SCIENCE	2015	None
2008	Symbiont	Hemiptera	Pseudococcidae	None	Planococcus ficus	Pseudomonadota	Enterobacterales	Candidatus Moranella	Genus	Candidatus Moranella	Candidatus Moranella	Bacteria	bacterial obligate nutritional symbiont	Nutrient provision	None	Microbial associates of the vine mealybug Planococcus ficus (Hemiptera: Pseudococcidae) under different rearing conditions	10.1007/s00248-014-0478-2	MICROBIAL ECOLOGY	2015	None
2009	Symbiont	Hemiptera	Pseudococcidae	None	Planococcus ficus	Pseudomonadota	None	Candidatus Tremblaya	Genus	Candidatus Tremblaya	Candidatus Tremblaya	Bacteria	bacterial obligate nutritional symbiont	Nutrient provision	None	Microbial associates of the vine mealybug Planococcus ficus (Hemiptera: Pseudococcidae) under different rearing conditions	10.1007/s00248-014-0478-2	MICROBIAL ECOLOGY	2015	None
2010	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera oleae	Ascomycota	Cladosporiales	Cladosporium	Genus	Cladosporium	Cladosporium	Fungi	None	None	None	Molecular analysis of the fungal microbiome associated with the olive fruit fly Bactrocera oleae	10.1016/j.funeco.2015.08.006	FUNGAL ECOLOGY	2015	None
2011	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Odoiporus longicollis	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2012	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhabdoscelus lineaticollis	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2013	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2014	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Sipalinus gigas	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2015	Symbiont	Coleoptera	Curculionidae	Molytinae	Pimelocerus perforatus	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2016	Symbiont	Coleoptera	Curculionidae	Entiminae	Pachyrhynchus infernalis	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2017	Symbiont	Coleoptera	Curculionidae	Curculioninae	Metapocyrtus yonagunianus	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Nardonella	Bacteria	None	None	None	Nardonella endosymbionts of Japanese pest and non-pest weevils (Coleoptera: Curculionidae)	10.1007/s13355-015-0326-y	APPLIED ENTOMOLOGY AND ZOOLOGY	2015	None
2018	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Coptotermes formosanus	Ascomycota	Hypocreales	Cordyceps	Genus	Isaria	Isaria fumosorosea K3	Fungi	Affecting direction of motion by providing 3-octanone and 1-octen-3-ol	None	None	Olfactory Cues from Pathogenic Fungus Affect the Direction of Motion of Termites, Coptotermes formosanus	10.1007/s10886-015-0649-8	Journal of Chemical Ecology	2015	Microbial Volatiles: geosmin
2019	Symbiont	Hemiptera	Delphacidae	Criomorphinae	Laodelphax striatellus	Ascomycota	Phaffomycetales	Wickerhamomyces	Genus	Wickerhamomyces	Pichia anomala	Fungi	new isolated strain was closely related to the developmental process of L. striatellus	Growth and Development	None	Pichia anomala, a new species of yeast-like endosymbionts and its variation in small brown planthopper (Laodelphax striatellus)	10.1016/j.jbiosc.2014.11.007	JOURNAL OF BIOSCIENCE AND BIOENGINEERING	2015	None
