Insect Species	Order	Family	Subfamily	Genus
Tettigades limbata	Hemiptera	Cicadidae	Tibicininae	Tettigades
Tettigades ulnaria	Hemiptera	Cicadidae	Tibicininae	Tettigades
Tettigades undata	Hemiptera	Cicadidae	Tibicininae	Tettigades
Thaumetopoea processionea	Lepidoptera	Notodontidae	Thaumetopoeinae	Thaumetopoea
Tigridia acesta	Lepidoptera	Nymphalidae	Nymphalinae	Tigridia
Tipula bicolor	Diptera	Tipulidae	Tipulinae	Tipula
Toxomerus marginatus	Diptera	Syrphidae	Syrphinae	Toxomerus
Trichobius dugesioides	Diptera	Streblidae	Trichobiinae	Trichobius
Trichobius furmani	Diptera	Streblidae	Trichobiinae	Trichobius
Trichobius joblingi	Diptera	Streblidae	Trichobiinae	Trichobius
Trioza adventicia	Hemiptera	Triozidae	None	Trioza
Trioza apicalis	Hemiptera	Triozidae	None	Trioza
Trioza curta	Hemiptera	Triozidae	None	Trioza
Trixagus carinifrons	Coleoptera	Throscidae	None	Trixagus
Trixagus dermestoides	Coleoptera	Throscidae	None	Trixagus
Trixagus duvalii	Coleoptera	Throscidae	None	Trixagus
Trixagus meybohmi	Coleoptera	Throscidae	None	Trixagus
Trixagus sericeus	Coleoptera	Throscidae	None	Trixagus
Trixagus turgidus	Coleoptera	Throscidae	None	Trixagus
Trypetimorpha occidentalis	Hemiptera	Tropiduchidae	None	Trypetimorpha
Typhaea stercorea	Coleoptera	Mycetophagidae	None	Typhaea
Urochela quadrinotata	Hemiptera	Urostylididae	None	Urochela
Uroleucon helianthicola	Hemiptera	Aphididae	Aphidinae	Uroleucon
Xylocopa mexicanorum	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylocopa micans	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylocopa virginica	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylomedes rufocoronata	Coleoptera	Bostrichidae	Bostrichinae	Xylomedes
Zophobas atratus	Coleoptera	Tenebrionidae	Tenebrioninae	Zophobas
